City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Gouyave,GD,12.16,-61.73,78.8,88,20,12.75
Magburaka,SL,8.72,-11.95,77.45,87,43,0.16
West Odessa,US,31.84,-102.5,65.08,17,40,10.29
Makkah al Mukarramah,SA,21.43,39.83,77.68,19,32,8.28
Takoradze,GH,4.88,-1.76,79.52,86,49,3.15
Ajdabiya,LY,30.76,20.23,59.5,50,0,4.32
Udachny,RU,66.42,112.4,33.8,47,15,11.18
Mandera,KE,3.94,41.87,79.0,17,87,5.01
Mount Gambier,AU,-37.83,140.77,57.2,62,90,11.41
Challans,FR,46.84,-1.87,47.5,100,0,4.29
Buraidah,SA,26.33,43.98,71.6,37,4,19.46
Vulcan,RO,45.38,23.27,47.3,49,36,4.21
Tokur,RU,53.13,132.9,46.9,39,29,2.06
Glamoč,BA,44.05,16.85,49.37,45,0,3.04
Ratnagiri,IN,16.98,73.3,94.5,42,14,5.68
Ambilobe,MG,-13.2,49.05,83.3,63,1,6.8
Anadyr,RU,64.75,177.48,10.18,78,90,11.18
Hervey Bay,AU,-25.3,152.85,80.96,30,0,11.41
Lakes Entrance,AU,-37.88,147.98,61.0,65,28,10.0
Galle,LK,6.04,80.22,87.53,60,6,2.77
Pemangkat,ID,1.17,108.97,83.41,75,93,11.39
Buritizeiro,BR,-17.35,-44.96,69.13,81,0,1.92
Tomatlán,MX,19.93,-105.25,70.97,61,69,7.34
Balaguer,ES,41.79,0.81,47.12,70,45,8.05
Vila do Maio,CV,15.13,-23.22,71.6,83,33,9.17
Muravlenko,RU,63.79,74.52,33.6,95,99,2.17
Upata,VE,8.01,-62.4,69.58,80,100,7.52
Riyadh,SA,24.69,46.72,73.4,25,75,12.75
Luganville,VU,-15.53,167.17,84.2,62,20,6.93
Fayaoué,NC,-20.65,166.53,79.05,65,24,6.24
Mahibadhoo,MV,3.78,72.97,84.67,67,44,5.28
Hailey,US,43.52,-114.32,39.2,41,5,10.29
Anderson,US,34.53,-82.65,46.13,70,1,1.61
Løding,NO,67.3,14.75,30.06,92,90,24.16
Phuntsholing,BT,26.85,89.39,87.24,19,71,6.26
Khorixas,NA,-20.37,14.97,73.44,45,0,6.22
Denizli Province,TR,37.84,29.07,50.0,53,10,3.83
Staroshcherbinovskaya,RU,46.63,38.67,44.91,58,20,14.72
Boysun,UZ,38.21,67.2,56.84,53,100,3.98
Chhor,PK,25.52,69.77,103.69,10,22,10.87
Newton,US,42.34,-71.21,33.46,47,7,10.29
Kolosovka,RU,56.47,73.61,47.28,73,77,7.85
Morondava,MG,-20.28,44.28,81.66,65,76,4.05
Zhigansk,RU,66.77,123.37,25.16,92,78,12.19
Alto Araguaia,BR,-17.31,-53.22,67.3,76,0,3.11
Menongue,AO,-14.66,17.69,63.23,63,60,3.53
Khartoum,SD,15.55,32.53,79.7,14,86,20.92
Eura,FI,61.13,22.13,36.19,93,90,10.29
Acolla,PE,-11.73,-75.55,44.15,24,74,2.33
Kassala,SD,15.45,36.4,75.72,46,9,8.99
Boa Vista,BR,2.82,-60.67,80.6,69,77,8.05
Port Shepstone,ZA,-30.74,30.45,77.97,47,1,7.4
Liloy,PH,8.11,122.66,86.43,53,11,8.14
Kabanga,TZ,-2.64,30.47,65.43,60,100,2.51
Siderno,IT,38.28,16.3,59.11,58,20,11.41
Leeuwarden,NL,53.2,5.81,49.39,81,75,5.82
Krasnoarmeysk,RU,51.02,45.7,33.01,97,91,25.99
Limbang,MY,4.75,115.0,88.45,62,75,5.82
Pecos,US,31.42,-103.49,60.78,19,1,10.29
Akil,MX,20.25,-89.35,75.42,80,0,8.25
Bilma,NE,18.69,12.92,77.58,16,98,9.26
Butterworth,MY,5.4,100.36,91.71,63,40,9.17
Nyurba,RU,63.28,118.33,38.8,68,87,9.84
Sinnamary,GF,5.38,-52.95,79.47,76,100,13.35
Tabuk,PH,17.42,121.44,86.72,55,56,7.83
Nabire,ID,-3.37,135.48,89.29,58,59,5.41
Voh,NC,-20.97,164.7,80.17,73,83,7.58
Malabo,GQ,3.75,8.78,75.2,100,20,4.7
Guerrero Negro,MX,27.98,-114.06,60.44,74,22,16.62
Vancouver,CA,49.25,-123.12,45.14,43,5,2.24
Maniitsoq,GL,65.42,-52.9,38.01,89,100,12.08
Dunda,TZ,-8.12,34.25,68.47,57,99,5.95
Douglas,US,41.3,-96.17,50.85,62,40,6.93
Tambopata,PE,-12.73,-69.18,69.08,68,26,1.66
Tezu,IN,27.92,96.17,96.3,15,25,5.39
Cody,US,44.53,-109.06,21.34,79,90,14.99
Vostok,RU,46.49,135.88,47.23,36,0,8.32
Oskemen,KZ,49.96,82.61,51.8,60,23,4.47
Xichang,CN,27.9,102.26,64.24,32,93,3.83
Abu Samrah,SY,35.3,37.18,57.76,56,0,6.58
Umm Kaddadah,SD,13.6,26.69,78.04,14,97,21.88
Forsytheganj,BY,52.63,29.73,40.95,58,54,6.89
Demmin,DE,53.91,13.03,46.02,52,75,6.93
Tazovsky,RU,67.47,78.7,18.54,95,69,4.99
Panzhihua,CN,26.59,101.71,73.0,38,30,1.7
Río Gallegos,AR,-51.62,-69.22,46.4,70,84,10.29
Scunthorpe,GB,53.58,-0.65,45.81,93,63,4.7
Winchester,GB,51.07,-1.32,46.33,93,0,2.24
Pimentel,PE,-6.84,-79.93,72.34,80,49,11.1
Abu Kamal,SY,34.45,40.92,65.55,44,0,10.89
Tiarei,PF,-17.53,-149.33,82.2,74,20,2.24
Manoel Urbano,BR,-8.84,-69.26,73.15,87,46,1.43
Roald,NO,62.58,6.13,43.74,93,90,27.51
Beyneu,KZ,45.32,55.2,53.98,43,1,16.4
Saryg-Sep,RU,51.5,95.6,47.93,47,56,4.14
Puerto Peñasco,MX,31.32,-113.53,65.05,59,1,11.7
Teya,RU,60.38,92.63,40.46,76,0,3.53
Sinaloa,MX,25.0,-107.5,57.54,82,88,2.15
Nkawkaw,GH,6.55,-0.77,73.99,89,84,1.95
Stykkisholmur,IS,65.08,-22.73,28.89,94,80,7.09
Aiquile,BO,-18.2,-65.18,51.39,48,12,1.88
Marquette,US,46.53,-87.63,36.09,64,1,13.87
The Valley,AI,18.22,-63.06,79.77,78,20,8.05
Mgandu,TZ,-5.95,34.13,65.75,57,100,7.72
Ilulissat,GL,69.22,-51.1,39.2,48,93,25.28
Khovd,MN,48.01,91.64,49.26,26,95,5.99
Clyde River,CA,70.47,-68.59,1.4,91,20,8.05
Sistranda,NO,63.73,8.83,43.93,87,75,34.45
Smithers,CA,54.78,-127.17,37.4,29,1,1.19
São Félix do Xingu,BR,-6.64,-51.99,73.04,92,98,0.81
Oodweyne,SO,9.41,45.06,76.96,43,51,11.54
Zharkent,KZ,44.16,80.0,69.71,19,38,7.14
Buta,CD,2.79,24.73,72.12,86,100,1.43
Ternate,ID,0.8,127.4,84.13,74,25,7.2
Najrān,SA,17.49,44.13,82.4,26,0,3.47
Sorong,ID,-0.88,131.25,83.75,83,40,4.52
Pio XII,BR,-3.83,-45.15,74.82,96,98,2.44
Partyzany,UA,46.33,34.75,44.22,60,0,12.35
Dārāb,IR,28.75,54.54,72.27,26,82,15.73
